doctor_id,n_cases,n_procedure_services,n_anesthesia_groups,n_duration_bins,n_age_bins,n_asa_bins,mean_duration_min,min_duration_min,max_duration_min,mean_age,min_age,max_age
doctor_01,25,16,3,5,4,4,387.2,63.0,672.0,60.1,31.0,84.0
doctor_02,25,16,3,5,4,4,304.2,91.0,636.0,54.9,26.0,80.0
doctor_03,25,16,3,5,4,4,394.5,65.0,692.0,58.0,20.0,86.0
doctor_04,25,15,3,5,4,4,322.4,60.0,677.0,54.2,22.0,80.0
doctor_05,25,16,3,5,4,3,328.2,76.0,687.0,60.4,25.0,86.0
doctor_06,25,17,3,5,4,4,387.8,60.0,686.0,58.4,19.0,90.0
doctor_07,25,16,3,5,4,4,394.0,81.0,682.0,56.0,29.0,84.0
doctor_08,25,16,3,5,4,4,385.9,72.0,718.0,56.8,21.0,90.0
doctor_09,25,15,3,5,4,3,379.5,74.0,717.0,55.5,19.0,78.0
doctor_10,25,17,3,5,4,4,380.9,95.0,658.0,57.1,18.0,80.0
doctor_11,25,17,3,5,4,3,381.0,79.0,701.0,61.0,24.0,81.0
doctor_12,25,16,4,5,4,5,383.8,84.0,716.0,58.5,18.0,81.0
doctor_13,25,16,4,5,4,4,400.9,100.0,699.0,53.6,19.0,78.0
doctor_14,25,16,4,5,4,3,396.5,89.0,702.0,57.4,25.0,82.0
doctor_15,25,17,3,5,4,3,387.0,67.0,719.0,56.7,18.0,83.0
doctor_16,25,17,3,5,4,3,391.2,82.0,698.0,61.7,22.0,85.0
doctor_17,25,16,3,5,4,4,395.9,117.0,701.0,55.6,19.0,80.0
doctor_18,25,16,3,5,4,3,411.4,93.0,703.0,61.2,27.0,84.0
doctor_19,25,16,3,5,4,4,397.6,80.0,706.0,56.0,18.0,83.0
doctor_20,25,17,2,5,4,3,360.6,72.0,665.0,60.1,21.0,79.0
doctor_21,25,16,3,5,4,3,398.4,88.0,644.0,55.4,23.0,79.0
doctor_22,25,16,3,5,4,4,398.4,99.0,702.0,59.9,30.0,83.0
doctor_23,25,17,4,5,4,4,382.8,68.0,621.0,54.1,19.0,79.0
doctor_24,25,17,4,5,4,4,395.6,66.0,688.0,56.3,21.0,87.0
doctor_25,25,16,3,5,4,4,394.6,60.0,662.0,58.4,26.0,84.0
doctor_26,25,16,4,5,4,3,391.4,91.0,709.0,56.6,20.0,84.0
